family	u	v	class	C	actual	predicted	z
BR	6	4	generic	1.5616	53	53.43	-0.059
BR	6	5	generic	1.2249	38	41.91	-0.604
BR	6	6	reducible	0.0562	0	1.92	-1.387
BR	6	7	generic	1.3934	38	47.68	-1.401
BR	6	8	generic	1.5420	46	52.76	-0.931
BR	6	9	generic	1.6482	65	56.40	1.146
BR	7	0	reducible	0.2592	0	8.87	-2.978
BR	7	1	generic	1.3439	44	45.99	-0.293
BR	7	2	reducible	0.3479	0	11.90	-3.450
BR	7	3	generic	1.4107	53	48.27	0.680
BR	7	4	generic	1.4107	41	48.27	-1.047
BR	7	5	reducible	0.3479	0	11.91	-3.450
BR	7	6	generic	1.3439	56	45.99	1.476
BR	7	7	reducible	0.2592	0	8.87	-2.978
BR	7	8	generic	1.4331	48	49.04	-0.149
BR	7	9	generic	1.4002	44	47.91	-0.566
BR	8	0	reducible	0.2336	0	7.99	-2.827
BR	8	1	generic	1.3400	38	45.86	-1.161
BR	8	2	generic	1.4450	51	49.45	0.220
BR	8	3	generic	1.0825	36	37.04	-0.172
BR	8	4	reducible	0.3470	0	11.88	-3.446
BR	8	5	generic	1.0825	41	37.05	0.650
BR	8	6	generic	1.4450	54	49.45	0.647
BR	8	7	generic	1.3400	45	45.86	-0.127
BR	8	8	reducible	0.2336	0	7.99	-2.827
BR	8	9	generic	1.4000	47	47.92	-0.132
BR	9	0	reducible	0.2827	0	9.68	-3.111
BR	9	1	generic	1.1400	43	39.02	0.637
BR	9	2	generic	0.7881	31	26.97	0.775
BR	9	3	generic	1.4596	54	49.96	0.572
BR	9	4	generic	1.3578	46	46.47	-0.069
BR	9	5	generic	1.3578	43	46.47	-0.510
BR	9	6	generic	1.4596	52	49.96	0.289
BR	9	7	generic	0.7881	28	26.98	0.197
BR	9	8	generic	1.1400	33	39.02	-0.964
BR	9	9	reducible	0.2827	0	9.68	-3.111
